customer_id,store_id,product_name,sales_date,sales_person_id,price,quantity,total_cost
2,122,refined oil,2023-05-09,4,110,4,440
13,121,clinic plus,2023-05-11,3,1.5,2,3.0
17,123,clinic plus,2023-04-26,9,1.5,7,10.5
5,121,clinic plus,2023-07-24,3,1.5,7,10.5
19,123,nutrella,2023-04-02,8,40,10,400
14,122,refined oil,2023-08-08,6,110,5,550
23,123,quaker oats,2023-07-27,8,212,10,2120
2,122,nutrella,2023-07-22,6,40,4,160
27,123,refined oil,2023-08-20,7,110,8,880
17,123,refined oil,2023-07-06,7,110,8,880
2,123,nutrella,2023-03-10,9,40,5,200
15,121,sugar,2023-07-20,3,50,10,500
7,121,quaker oats,2023-05-10,1,212,4,848
6,123,maida,2023-04-13,8,20,2,40
5,121,clinic plus,2023-05-20,1,1.5,4,6.0
20,121,nutrella,2023-05-03,2,40,7,280
7,123,clinic plus,2023-05-05,8,1.5,10,15.0
6,122,clinic plus,2023-05-23,5,1.5,3,4.5
4,121,clinic plus,2023-04-29,2,1.5,3,4.5
29,123,maida,2023-04-06,8,20,8,160
13,122,maida,2023-06-03,6,20,1,20
4,122,besan,2023-07-05,5,52,7,364
22,122,maida,2023-04-03,5,20,2,40
10,121,dantkanti,2023-05-25,2,100,5,500
2,122,besan,2023-04-15,4,52,7,364
11,121,sugar,2023-08-09,2,50,6,300
3,123,dantkanti,2023-03-29,9,100,6,600
12,122,besan,2023-04-30,6,52,7,364
10,123,sugar,2023-06-04,8,50,4,200
11,122,maida,2023-08-16,4,20,7,140
1,122,quaker oats,2023-06-11,5,212,7,1484
15,123,nutrella,2023-08-11,9,40,5,200
4,122,maida,2023-03-11,5,20,7,140
5,123,refined oil,2023-04-27,8,110,10,1100
26,122,besan,2023-04-29,4,52,10,520
27,121,sugar,2023-08-04,2,50,5,250
30,122,refined oil,2023-04-14,4,110,9,990
8,121,refined oil,2023-05-05,2,110,4,440
13,122,clinic plus,2023-08-11,6,1.5,10,15.0
1,123,quaker oats,2023-08-20,9,212,8,1696
1,121,besan,2023-06-21,2,52,5,260
17,123,clinic plus,2023-04-17,8,1.5,2,3.0
25,123,dantkanti,2023-04-04,9,100,3,300
16,123,maida,2023-04-11,7,20,1,20
24,121,refined oil,2023-05-24,3,110,7,770
14,122,sugar,2023-04-21,6,50,4,200
28,123,sugar,2023-04-18,9,50,6,300
30,121,sugar,2023-05-30,1,50,10,500
2,121,refined oil,2023-05-20,2,110,10,1100
3,121,dantkanti,2023-04-03,2,100,9,900
19,121,nutrella,2023-07-31,1,40,6,240
2,122,dantkanti,2023-07-30,5,100,8,800
16,121,quaker oats,2023-06-01,2,212,7,1484
25,123,refined oil,2023-07-24,9,110,5,550
5,121,clinic plus,2023-06-28,1,1.5,4,6.0
6,123,besan,2023-05-02,9,52,2,104
27,122,refined oil,2023-05-04,5,110,5,550
7,122,besan,2023-06-27,5,52,4,208
21,122,nutrella,2023-05-30,6,40,10,400
3,123,nutrella,2023-07-29,9,40,10,400
14,123,maida,2023-07-22,9,20,5,100
13,121,sugar,2023-05-23,1,50,3,150
14,123,besan,2023-07-17,9,52,1,52
2,121,sugar,2023-04-15,2,50,3,150
6,122,quaker oats,2023-05-05,4,212,3,636
2,123,besan,2023-03-15,7,52,6,312
12,121,sugar,2023-05-01,1,50,3,150
6,122,besan,2023-03-15,4,52,3,156
10,122,maida,2023-06-18,6,20,10,200
14,123,dantkanti,2023-06-24,7,100,6,600
28,122,sugar,2023-05-13,4,50,5,250
17,121,quaker oats,2023-05-03,2,212,6,1272
17,123,sugar,2023-06-05,9,50,2,100
7,123,sugar,2023-04-23,7,50,4,200
23,121,maida,2023-05-09,1,20,5,100
23,122,dantkanti,2023-05-09,5,100,4,400
1,122,dantkanti,2023-03-08,6,100,8,800
13,122,sugar,2023-04-11,5,50,3,150
25,123,refined oil,2023-07-20,9,110,10,1100
28,123,quaker oats,2023-07-28,8,212,7,1484
22,122,besan,2023-05-07,6,52,6,312
23,123,clinic plus,2023-08-10,7,1.5,2,3.0
13,122,maida,2023-07-16,5,20,4,80
2,123,clinic plus,2023-03-25,7,1.5,9,13.5
9,122,sugar,2023-03-16,6,50,6,300
11,122,refined oil,2023-06-29,5,110,4,440
13,122,sugar,2023-05-24,6,50,8,400
21,123,clinic plus,2023-07-29,7,1.5,3,4.5
3,121,besan,2023-06-27,1,52,10,520
18,121,dantkanti,2023-03-27,2,100,6,600
6,121,refined oil,2023-06-30,1,110,2,220
25,123,nutrella,2023-05-28,8,40,2,80
25,123,maida,2023-05-25,8,20,7,140
15,123,quaker oats,2023-05-09,9,212,10,2120
28,122,refined oil,2023-05-21,6,110,5,550
21,121,quaker oats,2023-06-23,2,212,2,424
26,123,dantkanti,2023-06-22,9,100,2,200
11,122,refined oil,2023-03-24,4,110,9,990
25,123,nutrella,2023-07-25,8,40,3,120
4,121,refined oil,2023-05-28,2,110,5,550
7,122,sugar,2023-04-01,5,50,9,450
10,123,clinic plus,2023-04-06,8,1.5,9,13.5
26,122,quaker oats,2023-06-12,5,212,10,2120
7,122,dantkanti,2023-06-25,5,100,2,200
18,121,nutrella,2023-05-06,3,40,2,80
3,123,maida,2023-07-14,7,20,6,120
10,122,nutrella,2023-07-31,5,40,8,320
2,121,refined oil,2023-03-21,1,110,9,990
10,122,quaker oats,2023-08-14,4,212,5,1060
4,122,quaker oats,2023-06-29,4,212,3,636
6,122,besan,2023-08-05,5,52,6,312
9,122,maida,2023-07-16,6,20,8,160
6,123,maida,2023-04-28,8,20,8,160
23,123,quaker oats,2023-06-17,8,212,6,1272
15,122,maida,2023-05-28,6,20,4,80
26,121,maida,2023-03-29,1,20,1,20
19,121,dantkanti,2023-05-24,1,100,8,800
25,123,maida,2023-04-14,9,20,2,40
1,121,refined oil,2023-04-09,3,110,5,550
18,121,dantkanti,2023-07-20,1,100,8,800
18,122,quaker oats,2023-05-04,6,212,3,636
9,121,refined oil,2023-04-01,1,110,6,660
6,122,dantkanti,2023-03-21,6,100,7,700
15,123,clinic plus,2023-05-25,7,1.5,1,1.5
12,122,besan,2023-03-06,5,52,3,156
24,122,refined oil,2023-03-28,6,110,4,440
21,121,quaker oats,2023-05-15,2,212,1,212
13,121,maida,2023-05-03,3,20,4,80
9,121,dantkanti,2023-08-05,1,100,9,900
11,122,besan,2023-03-10,4,52,7,364
22,121,besan,2023-04-27,3,52,5,260
12,121,nutrella,2023-05-07,2,40,9,360
16,123,nutrella,2023-06-29,8,40,7,280
10,122,refined oil,2023-08-12,6,110,2,220
18,123,clinic plus,2023-03-21,7,1.5,3,4.5
5,122,nutrella,2023-06-28,4,40,8,320
27,121,clinic plus,2023-08-01,3,1.5,6,9.0
3,121,clinic plus,2023-07-07,3,1.5,6,9.0
30,121,maida,2023-08-18,1,20,1,20
25,123,clinic plus,2023-04-24,9,1.5,4,6.0
27,122,clinic plus,2023-04-09,5,1.5,6,9.0
6,122,nutrella,2023-05-08,4,40,4,160
17,121,dantkanti,2023-06-18,2,100,4,400
24,122,refined oil,2023-04-29,6,110,4,440
7,121,maida,2023-04-21,2,20,1,20
7,123,quaker oats,2023-05-17,9,212,4,848
13,121,maida,2023-04-29,2,20,4,80
29,122,clinic plus,2023-04-20,5,1.5,10,15.0
24,122,sugar,2023-04-22,6,50,7,350
22,121,nutrella,2023-07-14,2,40,7,280
30,123,quaker oats,2023-05-08,7,212,8,1696
1,122,clinic plus,2023-04-29,4,1.5,6,9.0
29,123,sugar,2023-06-21,7,50,8,400
24,121,dantkanti,2023-05-26,3,100,4,400
9,122,clinic plus,2023-06-24,6,1.5,6,9.0
16,123,refined oil,2023-03-30,8,110,3,330
12,123,quaker oats,2023-04-06,7,212,8,1696
11,123,quaker oats,2023-08-05,7,212,2,424
9,123,maida,2023-03-30,9,20,7,140
10,121,dantkanti,2023-08-11,3,100,9,900
9,123,besan,2023-06-24,9,52,6,312
5,123,maida,2023-07-08,7,20,1,20
10,122,clinic plus,2023-06-17,4,1.5,5,7.5
2,123,besan,2023-07-13,9,52,10,520
13,121,sugar,2023-06-14,1,50,5,250
17,122,besan,2023-04-28,5,52,3,156
