"billing_id","customer_id","billing_month","units_consumed","bill_amount","payment_status","created_date","last_updated","due_date","payment_date"
"1","1","2026-01-01","710.54","4618.51","Paid","2026-01-01 00:00:00","2026-01-16 00:00:00","2026-01-16","2026-01-16"
"2","1","2026-02-01","519.69","3377.99","Paid","2026-02-01 00:00:00","2026-02-13 00:00:00","2026-02-16","2026-02-13"
"3","1","2026-03-01","190.75","1430.62","Paid","2026-03-02 00:00:00","2026-03-15 00:00:00","2026-03-16","2026-03-15"
"4","1","2026-04-01","81.37","569.59","Paid","2026-04-02 00:00:00","2026-04-15 00:00:00","2026-04-16","2026-04-15"
"5","1","2026-05-01","137.3","892.45","Overdue","2026-05-01 00:00:00","2026-05-23 00:00:00","2026-05-16","2026-05-23"
"6","1","2026-06-01","163.67","900.18","Pending","2026-06-03 00:00:00","2026-06-13 00:00:00","2026-06-16",""
"7","1","2026-07-01","727.86","4003.23","Paid","2026-07-01 00:00:00","2026-07-15 00:00:00","2026-07-16","2026-07-15"
"8","1","2026-08-01","550.19","3576.24","Pending","2026-08-02 00:00:00","2026-08-12 00:00:00","2026-08-16",""
"9","1","2026-09-01","361.64","2531.48","Paid","2026-09-02 00:00:00","2026-09-14 00:00:00","2026-09-16","2026-09-14"
"10","1","2026-10-01","543.15","3530.47","Overdue","2026-10-01 00:00:00","2026-10-25 00:00:00","2026-10-16","2026-10-25"
"11","1","2026-11-01","812.21","6091.58","Pending","2026-11-01 00:00:00","2026-11-11 00:00:00","2026-11-16",""
"12","1","2026-12-01","809.88","5669.16","Overdue","2026-12-02 00:00:00","2026-12-26 00:00:00","2026-12-16","2026-12-26"
"13","2","2026-01-01","387.11","2129.11","Pending","2026-01-03 00:00:00","2026-01-13 00:00:00","2026-01-16",""
"14","2","2026-02-01","752.56","5267.92","Paid","2026-02-03 00:00:00","2026-02-11 00:00:00","2026-02-16","2026-02-11"
"15","2","2026-03-01","354.62","2659.65","Paid","2026-03-03 00:00:00","2026-03-15 00:00:00","2026-03-16","2026-03-15"
"16","2","2026-04-01","454.55","3409.12","Paid","2026-04-02 00:00:00","2026-04-11 00:00:00","2026-04-16","2026-04-11"
"17","2","2026-05-01","560.69","3644.49","Paid","2026-05-02 00:00:00","2026-05-15 00:00:00","2026-05-16","2026-05-15"
"18","2","2026-06-01","412.69","3095.18","Paid","2026-06-01 00:00:00","2026-06-15 00:00:00","2026-06-16","2026-06-15"
"19","2","2026-07-01","315.92","2211.44","Paid","2026-07-03 00:00:00","2026-07-11 00:00:00","2026-07-16","2026-07-11"
"20","2","2026-08-01","476.73","2860.38","Paid","2026-08-03 00:00:00","2026-08-12 00:00:00","2026-08-16","2026-08-12"
"21","2","2026-09-01","390.44","2733.08","Overdue","2026-09-01 00:00:00","2026-09-24 00:00:00","2026-09-16","2026-09-24"
"22","2","2026-10-01","454.2","2498.1","Paid","2026-10-01 00:00:00","2026-10-15 00:00:00","2026-10-16","2026-10-15"
"23","2","2026-11-01","302.98","2120.86","Paid","2026-11-02 00:00:00","2026-11-11 00:00:00","2026-11-16","2026-11-11"
"24","2","2026-12-01","80.29","602.18","Pending","2026-12-03 00:00:00","2026-12-13 00:00:00","2026-12-16",""
