"tariff_id","tariff_name","rate_per_unit","effective_from","effective_to","last_updated"
"1","Residential","5.5","2025-01-01","2026-12-31","2025-01-01 00:00:00"
"2","Residential","5.75","2025-02-01","2026-12-31","2025-02-01 00:00:00"
"3","Residential","6.0","2025-03-01","2026-12-31","2025-03-01 00:00:00"
"4","Residential","6.25","2025-04-01","2026-12-31","2025-04-01 00:00:00"
"5","Residential","6.5","2025-05-01","2026-12-31","2025-05-01 00:00:00"
"6","Commercial","6.5","2025-06-01","2026-12-31","2025-06-01 00:00:00"
"7","Commercial","6.75","2025-07-01","2026-12-31","2025-07-01 00:00:00"
"8","Commercial","7.0","2025-08-01","2026-12-31","2025-08-01 00:00:00"
"9","Commercial","7.25","2025-09-01","2026-12-31","2025-09-01 00:00:00"
"10","Commercial","7.5","2025-10-01","2026-12-31","2025-10-01 00:00:00"
"11","Industrial","7.5","2026-01-01","2026-12-31","2026-01-01 00:00:00"
"12","Industrial","7.75","2026-02-01","2026-12-31","2026-02-01 00:00:00"
"13","Industrial","8.0","2026-03-01","2026-12-31","2026-03-01 00:00:00"
"14","Industrial","8.25","2026-04-01","2026-12-31","2026-04-01 00:00:00"
"15","Industrial","8.5","2026-05-01","2026-12-31","2026-05-01 00:00:00"
"16","Agriculture","3.5","2026-06-01","2026-12-31","2026-06-01 00:00:00"
"17","Agriculture","3.75","2026-07-01","2026-12-31","2026-07-01 00:00:00"
"18","Agriculture","4.0","2026-08-01","2026-12-31","2026-08-01 00:00:00"
"19","Agriculture","4.25","2026-09-01","2026-12-31","2026-09-01 00:00:00"
"20","Agriculture","4.5","2026-10-01","2026-12-31","2026-10-01 00:00:00"
