"weather_id","city","weather_date","temperature","humidity","rainfall","last_updated"
"1","Surat","2026-02-19","39.8","67.35","43.04","2026-02-19 02:42:00"
"2","Pune","2026-02-24","32.45","90.05","58.26","2026-02-24 07:21:00"
"3","Kochi","2026-01-19","24.13","44.66","53.43","2026-01-19 18:23:00"
"4","Howrah","2026-05-01","36.87","49.33","94.94","2026-05-01 14:13:00"
"5","Puri","2026-04-21","29.23","47.7","78.27","2026-04-21 20:43:00"
"6","Noida","2026-06-20","38.61","51.04","93.88","2026-06-20 08:27:00"
"7","Puri","2026-04-14","35.87","60.11","104.62","2026-04-14 07:34:00"
"8","Rourkela","2026-03-30","37.09","57.25","43.15","2026-03-30 09:36:00"
"9","Sambalpur","2026-01-09","28.36","51.66","91.63","2026-01-09 13:43:00"
"10","Bengaluru","2026-06-17","31.66","44.98","101.26","2026-06-17 17:19:00"
"11","Kolkata","2026-06-26","30.73","87.38","114.44","2026-06-26 03:02:00"
"12","Surat","2026-03-30","30.82","77.13","53.07","2026-03-30 04:43:00"
"13","Bhopal","2026-06-04","37.42","82.53","16.84","2026-06-04 06:59:00"
"14","Howrah","2026-05-21","28.72","88.37","16.73","2026-05-21 05:56:00"
"15","Lucknow","2026-03-28","27.0","38.57","66.04","2026-03-28 12:29:00"
"16","Cuttack","2026-02-19","24.69","84.47","10.88","2026-02-19 05:16:00"
"17","Kochi","2026-02-22","28.2","66.46","96.03","2026-02-22 11:15:00"
"18","Rourkela","2026-03-13","33.68","88.25","1.45","2026-03-13 21:25:00"
"19","Bhopal","2026-04-28","33.74","37.67","40.38","2026-04-28 09:30:00"
"20","Howrah","2026-05-22","32.23","53.92","2.22","2026-05-22 05:18:00"
"21","Bengaluru","2026-06-23","26.74","59.19","76.6","2026-06-23 08:33:00"
"22","Puri","2026-02-25","21.56","42.23","41.1","2026-02-25 12:01:00"
"23","Kochi","2026-06-20","22.86","75.28","98.79","2026-06-20 17:42:00"
"24","Ahmedabad","2026-02-23","21.06","67.75","38.2","2026-02-23 22:19:00"
"25","New Delhi","2026-03-03","39.17","47.21","116.9","2026-03-03 02:15:00"
"26","Cuttack","2026-05-29","41.83","79.4","52.65","2026-05-29 22:03:00"
"27","New Delhi","2026-05-22","35.05","92.05","92.79","2026-05-22 15:39:00"
"28","Cuttack","2026-01-04","27.88","62.12","32.9","2026-01-04 20:09:00"
"29","Mumbai","2026-06-12","19.48","76.53","31.92","2026-06-12 21:07:00"
"30","Puri","2026-06-09","37.15","55.34","87.6","2026-06-09 05:30:00"
"31","Hyderabad","2026-01-28","24.36","49.31","26.01","2026-01-28 18:06:00"
"32","Durgapur","2026-02-19","33.63","45.32","109.94","2026-02-19 22:47:00"
"33","Howrah","2026-04-25","21.29","94.14","107.54","2026-04-25 23:50:00"
"34","Pune","2026-02-28","20.52","66.65","1.48","2026-02-28 17:57:00"
"35","Sambalpur","2026-05-28","33.83","89.46","13.16","2026-05-28 02:28:00"
"36","Bhopal","2026-05-27","35.1","94.6","72.3","2026-05-27 09:25:00"
"37","Sambalpur","2026-06-29","19.43","52.29","63.69","2026-06-29 04:19:00"
"38","Lucknow","2026-03-02","21.98","84.67","78.69","2026-03-02 13:09:00"
"39","Noida","2026-06-28","18.78","53.29","107.74","2026-06-28 16:15:00"
"40","Howrah","2026-04-15","21.63","44.85","52.68","2026-04-15 07:56:00"
"41","New Delhi","2026-01-07","36.15","46.45","93.3","2026-01-07 08:19:00"
"42","Pune","2026-03-09","18.8","88.54","15.42","2026-03-09 19:52:00"
"43","Bhopal","2026-04-05","36.6","89.06","54.97","2026-04-05 09:54:00"
"44","Cuttack","2026-04-27","34.12","40.49","79.35","2026-04-27 12:30:00"
"45","Cuttack","2026-04-09","19.04","38.4","0.31","2026-04-09 05:31:00"
"46","Chennai","2026-01-27","40.0","46.18","82.52","2026-01-27 15:17:00"
"47","Bengaluru","2026-02-24","34.42","52.07","47.68","2026-02-24 06:33:00"
"48","Mumbai","2026-03-18","40.07","60.23","103.07","2026-03-18 02:03:00"
"49","Pune","2026-01-28","35.11","35.64","83.56","2026-01-28 10:29:00"
"50","Bengaluru","2026-06-09","24.93","56.9","57.6","2026-06-09 05:49:00"
"51","Kochi","2026-01-17","27.33","72.28","57.79","2026-01-17 18:03:00"
"52","Kochi","2026-03-11","37.55","84.82","19.75","2026-03-11 03:35:00"
"53","Durgapur","2026-05-18","30.24","92.47","88.78","2026-05-18 06:58:00"
"54","Cuttack","2026-04-06","35.79","70.05","1.52","2026-04-06 09:52:00"
"55","Kolkata","2026-05-16","21.03","78.32","63.49","2026-05-16 19:56:00"
"56","Durgapur","2026-05-22","31.52","76.39","23.16","2026-05-22 02:35:00"
"57","Howrah","2026-05-02","20.86","43.85","59.98","2026-05-02 10:11:00"
"58","Sambalpur","2026-02-17","21.81","60.48","95.12","2026-02-17 06:22:00"
"59","Puri","2026-05-26","24.02","75.12","0.85","2026-05-26 11:02:00"
"60","Sambalpur","2026-03-10","23.53","88.2","19.12","2026-03-10 14:15:00"
"61","Howrah","2026-03-24","21.52","90.55","40.13","2026-03-24 23:24:00"
"62","Noida","2026-02-27","31.76","52.67","34.29","2026-02-27 14:50:00"
"63","Kolkata","2026-06-19","40.0","77.83","1.33","2026-06-19 04:33:00"
"64","Hyderabad","2026-02-16","24.02","61.73","111.03","2026-02-16 07:08:00"
"65","Rourkela","2026-01-21","27.96","75.84","104.73","2026-01-21 01:19:00"
"66","Kolkata","2026-06-08","21.08","70.75","48.7","2026-06-08 23:39:00"
"67","Bengaluru","2026-06-07","19.97","45.62","94.66","2026-06-07 18:55:00"
"68","Lucknow","2026-01-01","22.14","38.2","43.8","2026-01-01 23:32:00"
"69","Howrah","2026-06-14","38.58","76.8","58.09","2026-06-14 05:14:00"
"70","Bengaluru","2026-02-14","18.29","62.89","106.89","2026-02-14 22:15:00"
"71","Lucknow","2026-04-23","25.69","60.21","52.62","2026-04-23 23:58:00"
"72","Cuttack","2026-06-28","33.32","64.26","96.1","2026-06-28 12:22:00"
"73","Surat","2026-03-25","41.22","38.5","95.05","2026-03-25 15:24:00"
"74","Lucknow","2026-02-27","24.59","48.05","101.2","2026-02-27 07:57:00"
"75","Sambalpur","2026-05-13","30.35","51.07","103.86","2026-05-13 04:56:00"
"76","Sambalpur","2026-04-02","34.61","36.67","22.03","2026-04-02 14:42:00"
"77","Noida","2026-06-02","24.78","69.16","89.63","2026-06-02 14:42:00"
"78","Pune","2026-05-13","36.77","48.57","119.75","2026-05-13 01:19:00"
"79","Bengaluru","2026-02-20","23.65","54.85","20.5","2026-02-20 22:56:00"
"80","Lucknow","2026-01-21","25.38","51.4","41.59","2026-01-21 08:15:00"
"81","Cuttack","2026-05-16","18.14","72.95","47.86","2026-05-16 15:21:00"
"82","Rourkela","2026-04-13","37.78","57.96","85.87","2026-04-13 11:46:00"
"83","Hyderabad","2026-01-18","31.81","50.55","65.67","2026-01-18 03:26:00"
"84","Howrah","2026-02-09","18.49","64.32","13.22","2026-02-09 17:50:00"
"85","Kolkata","2026-05-15","32.22","46.36","45.66","2026-05-15 15:04:00"
"86","Kolkata","2026-03-14","26.06","93.81","114.98","2026-03-14 06:05:00"
"87","Howrah","2026-06-25","33.39","79.57","102.68","2026-06-25 02:53:00"
"88","Kolkata","2026-03-31","41.18","79.0","6.69","2026-03-31 02:42:00"
"89","Kolkata","2026-04-18","33.89","78.35","111.75","2026-04-18 18:13:00"
"90","Sambalpur","2026-02-19","29.61","78.78","18.1","2026-02-19 06:24:00"
"91","Pune","2026-06-06","25.94","65.01","9.38","2026-06-06 04:32:00"
"92","Bhubaneswar","2026-04-15","21.58","74.09","79.77","2026-04-15 22:54:00"
"93","Kolkata","2026-06-23","35.93","66.57","66.0","2026-06-23 23:07:00"
"94","Kolkata","2026-01-28","34.07","45.98","23.96","2026-01-28 08:03:00"
"95","Pune","2026-06-13","32.49","35.38","37.23","2026-06-13 11:15:00"
"96","Mumbai","2026-01-22","20.95","72.79","73.41","2026-01-22 21:15:00"
"97","Mumbai","2026-05-23","28.74","91.62","119.43","2026-05-23 23:54:00"
"98","Bengaluru","2026-01-17","23.81","52.64","6.12","2026-01-17 15:55:00"
"99","Kolkata","2026-03-12","32.41","82.94","101.47","2026-03-12 04:45:00"
"100","Puri","2026-01-19","39.04","93.23","85.94","2026-01-19 20:50:00"
"101","Chennai","2026-03-14","33.23","72.61","92.42","2026-03-14 23:08:00"
"102","Ahmedabad","2026-01-29","29.92","73.54","91.91","2026-01-29 04:49:00"
